PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Kevin Martin,714,30.2,17.4,5.4,12.3,43.7,1.6,4.2,38.4,5,5.7,87,0.6,2.6,3.2,1.9,0.9,0.1,1.7,50.2,58.5
Purvis Short,842,29.2,17.3,7,14.9,47.4,0.1,0.5,28.2,3.1,3.8,82.4,1.7,2.6,4.3,2.5,1,0.2,2,47.9,52.5
Allan Houston,839,33.7,17.3,6.4,14.3,44.4,1.6,3.9,40.2,3.1,3.6,86.3,0.4,2.5,2.9,2.4,0.7,0.2,2.1,49.8,54.6
Kyle Kuzma,476,31.3,17.3,6.6,14.6,45.1,2,5.9,33.7,2.2,3,73.3,1,5.4,6.4,2.7,0.6,0.6,2.2,52,54.5
Richie Guerin,848,32.4,17.3,6.1,14.7,41.6,-,-,-,5.1,6.5,78,-,-,5,5,-,-,-,41.6,49.3
George McGinnis,528,30.7,17.2,6.4,14.3,44.8,0,0,8,4.4,6.7,65.1,3,6.8,9.8,3.8,1.7,0.4,3.5,44.8,49.8
Cliff T. Robinson,629,30.7,17.2,7.1,15.3,46.8,0,0.1,19.4,2.9,4,72.2,2.2,6.2,8.3,2,1,0.7,2.5,46.9,50.5
Jojo White,837,35.8,17.2,7.4,16.6,44.4,0,0,16.7,2.5,3,83.4,0.9,2.7,4,4.9,1.3,0.2,2.4,44.4,48.1
Phil Chenier,578,33.1,17.2,7.1,16,44.4,0,0,40,2.9,3.6,80.6,0.9,2.7,3.6,3,1.6,0.6,1.4,44.5,48.7
Calvin Natt,599,31.4,17.2,6.7,12.7,52.8,0,0.1,21.9,3.8,4.9,76.8,2.3,4.5,6.8,2.2,0.9,0.3,2.1,52.9,57.9
Kelly Tripucka,707,29.6,17.2,6.3,13.3,47.3,0.2,0.7,36.1,4.4,5.2,84.9,1.3,2.5,3.8,3,1,0.2,2.4,48.2,55.2
Artis Gilmore,909,32.7,17.1,6.3,10.5,59.9,0,0,7.7,4.5,6.3,71.3,2.9,7.2,10.1,2,0.5,1.9,2.8,59.9,64.3
Gus Johnson,581,34.7,17.1,7.1,16.1,44,-,-,-,2.9,4.2,69.9,-,-,12.7,2.7,-,-,-,44,47.6
Nikola Vucevic,899,31.4,17.1,7.3,14.8,49.5,0.9,2.5,34.1,1.6,2.1,76.8,2.5,8,10.5,2.8,0.8,0.9,1.7,52.4,54.4
Jason Richardson,857,34.1,17.1,6.5,14.8,43.8,1.9,5.1,37,2.2,3.2,70.7,1.2,3.7,5,2.7,1.2,0.4,1.8,50.2,52.8
Gus Williams,825,31.1,17.1,7,15.2,46.1,0.1,0.6,23.8,2.9,3.8,75.6,1,1.7,2.7,5.6,2,0.4,2.5,46.5,50.5
Alonzo Mourning,838,31,17.1,6.1,11.6,52.7,0,0.1,24.7,4.8,7,69.2,2.6,5.9,8.5,1.1,0.5,2.8,2.6,52.8,58.3
Richard Hamilton,921,32.1,17.1,6.5,14.4,44.9,0.6,1.7,34.6,3.5,4.1,85.2,0.9,2.2,3.1,3.4,0.8,0.1,2.1,46.9,52.5
Larry Nance,920,33.4,17.1,6.9,12.7,54.6,0,0.1,14.5,3.2,4.2,75.5,2.5,5.5,8,2.6,0.9,2.2,1.9,54.6,58.6
Pau Gasol,"1,226",33.4,17,6.5,12.8,50.7,0.1,0.4,36.8,3.9,5.1,75.3,2.5,6.7,9.2,3.2,0.5,1.6,2.2,51.3,56.5
Peja Stojakovic,804,33.5,17,6,13.3,45,2.2,5.5,40.1,2.8,3.1,89.5,0.9,3.8,4.7,1.8,0.9,0.1,1.4,53.2,57.7
Clyde Lovellette,704,27.1,17,6.8,15.3,44.3,-,-,-,3.4,4.5,75.7,-,-,9.5,1.6,-,-,-,44.3,49.1
Larry Kenon,503,30.8,17,7.1,14.5,48.9,0,0,10,2.8,3.5,79.8,2.7,5.1,7.8,2.6,1.3,0.3,2.6,48.9,52.9
Jerry Lucas,829,38.8,17,6.9,13.8,49.9,-,-,-,3.2,4.1,78.3,0.8,4.3,15.6,3.3,0.4,0.3,-,49.9,54.4
Jerry Stackhouse,970,31.2,16.9,5.6,13.6,40.9,1,3.3,30.9,4.8,5.8,82.2,1,2.2,3.2,3.3,0.9,0.5,2.7,44.6,52.4
Jalen Brunson,422,28.3,16.9,6.3,12.9,48.9,1.5,3.8,39.1,2.8,3.4,82.4,0.5,2.8,3.2,4.7,0.7,0.1,1.6,54.7,58.8
Victor Oladipo,504,32.2,16.9,6.2,14.2,43.6,1.6,4.7,34.7,2.9,3.7,78.8,0.6,3.9,4.5,3.9,1.6,0.5,2.5,49.3,53.4
Khris Middleton,739,31.1,16.9,6.1,13.3,46,1.8,4.8,38.8,2.8,3.1,87.9,0.6,4.2,4.8,3.9,1.2,0.2,2.1,52.9,57.3
Sidney Wicks,760,33.9,16.8,6.6,14.5,45.9,0,0,0,3.6,5.2,68.5,2.6,5.5,8.7,3.2,1,0.7,2.4,45.9,50.2
Danny Granger,586,31.5,16.8,5.7,13.1,43.4,1.7,4.5,38,3.7,4.4,84.8,1.2,3.8,4.9,1.9,1,0.8,1.9,50,56
Isaiah Rider,563,31.7,16.7,6.4,14.4,44.3,1.2,3.4,35.2,2.8,3.4,81.2,1.2,2.6,3.8,2.7,0.7,0.2,2.5,48.4,52.6
Grant Hill,"1,026",33.9,16.7,6.2,12.8,48.3,0.2,0.7,31.4,4.1,5.4,76.9,1.1,4.9,6,4.1,1.2,0.6,2.4,49.2,55.1
Jimmy Walker,698,33.8,16.7,6.6,14.4,46.1,-,-,-,3.4,4.2,82.9,0.6,2.1,2.7,3.5,1.1,0.2,-,46.1,51.5
Vince Carter,"1,541",30.1,16.7,6,13.8,43.5,1.5,4,37.1,3.1,3.9,79.8,1.1,3.2,4.3,3.1,1,0.6,1.7,48.9,53.6
Randy Smith,976,32.2,16.7,6.8,14.6,47,0,0.1,15.5,3,3.8,78.1,1.1,2.4,3.7,4.6,1.7,0.1,2.4,47,51.3
Zach Randolph,"1,116",31,16.6,6.7,14.1,47.1,0.2,0.7,27.3,3.1,4.1,76.4,2.9,6.2,9.1,1.8,0.7,0.3,2.1,47.8,52.2
Lenny Wilkens,"1,077",35.3,16.5,5.7,13.3,43.2,-,-,-,5,6.5,77.4,0.8,2,4.7,6.7,1.3,0.2,-,43.2,51.1
Connie Hawkins,499,34.5,16.5,6,12.9,46.7,-,-,-,4.4,5.6,78.5,1.7,4.5,8,4.1,1.2,0.8,-,46.7,53.5
Derrick Coleman,781,33.2,16.5,5.9,13.2,44.7,0.4,1.4,29.5,4.3,5.5,76.9,2.7,6.6,9.3,2.5,0.8,1.3,2.6,46.2,52.6
Kevin Love,929,29.3,16.5,5.4,12.3,43.9,1.8,4.8,36.9,3.9,4.7,82.9,2.4,7.8,10.1,2.3,0.6,0.4,1.8,51.1,57.2
Terry Cummings,"1,183",28.7,16.4,6.8,14.1,48.4,0,0.1,29.5,2.8,4,70.6,2.7,4.6,7.3,1.9,1.1,0.5,1.9,48.5,52
Dick Van Arsdale,921,34.5,16.4,5.9,12.7,46.4,-,-,-,4.6,5.8,79,0.7,1.7,4.1,3.3,0.9,0.2,-,46.4,53.7
Joe Fulks,489,23.4,16.4,5.8,19.1,30.2,-,-,-,4.8,6.3,76.6,-,-,5.3,1.2,-,-,-,30.2,37.4
Gary Payton,"1,335",35.3,16.3,6.5,14,46.6,0.8,2.7,31.7,2.4,3.4,72.9,1,2.9,3.9,6.7,1.8,0.2,2.3,49.6,52.8
Deron Williams,845,34.2,16.3,5.8,13,44.5,1.4,3.9,35.7,3.4,4.1,82.2,0.4,2.7,3.1,8.1,1,0.2,2.8,49.8,55.2
Archie Clark,725,32.5,16.3,6.5,13.5,48,-,-,-,3.4,4.4,76.9,0.6,1.8,3.3,4.8,1.1,0.1,-,48,52.9
Tobias Harris,897,31.7,16.3,6.2,13,47.8,1.4,3.7,36.8,2.5,2.9,83.5,1,5.2,6.2,2.4,0.8,0.5,1.4,53.1,56.8
Carlos Boozer,861,31.2,16.2,6.8,13,52.1,0,0,7.1,2.6,3.7,72.2,2.4,7.1,9.5,2.2,0.9,0.4,2.1,52.1,55.4
Jeff Mullins,802,30.6,16.2,6.7,14.5,46.3,-,-,-,2.8,3.4,81.4,0.8,1.7,4.3,3.8,0.8,0.2,-,46.3,50.7
Brian Winters,650,30.7,16.2,6.9,14.5,47.5,0.2,0.5,36.3,2.2,2.6,84.2,0.7,1.9,2.6,4.1,1.2,0.3,2.4,48.1,51.6
Darrell Griffith,765,28,16.2,6.8,14.8,46.3,0.7,2.1,33.2,1.8,2.6,70.7,1,2.3,3.3,2.1,1.2,0.3,2.1,48.7,50.9
Larry Johnson,707,36.3,16.2,6.2,12.9,48.4,0.5,1.6,33.2,3.2,4.2,76.6,2.5,5,7.5,3.3,0.7,0.4,2,50.5,55.1
Jrue Holiday,975,33.1,16.1,6.3,13.7,46.3,1.5,4.1,37.1,2,2.5,78.4,0.9,3.2,4.2,6.4,1.4,0.5,2.7,51.8,54.5
Joe Dumars,"1,018",34.5,16.1,5.9,12.8,46,1,2.5,38.2,3.4,4,84.3,0.7,1.5,2.2,4.5,0.9,0.1,2,49.8,55.4
Baron Davis,835,34.2,16.1,5.9,14.3,40.9,1.6,5,32,2.8,3.9,71.1,0.9,2.9,3.8,7.2,1.8,0.4,2.8,46.5,50.2
Scottie Pippen,"1,178",34.9,16.1,6.3,13.3,47.3,0.8,2.5,32.6,2.7,3.8,70.4,1.8,4.6,6.4,5.2,2,0.8,2.8,50.4,53.6
Brook Lopez,"1,025",30.2,16.1,6.1,12.4,49.6,0.9,2.6,34.9,2.9,3.6,79.6,2,4.2,6.2,1.4,0.6,1.9,1.6,53.3,57.6
Dave DeBusschere,875,35.7,16.1,6.5,15.1,43.2,-,-,-,3,4.3,69.9,1.9,8.8,11,2.9,0.9,0.5,-,43.2,47.2
Cuttino Mobley,747,37,16,5.8,13.4,43.3,1.5,3.8,37.8,3,3.6,83.5,0.7,3.2,3.9,2.7,1.2,0.4,2,48.7,53.6
Eddie Johnson,"1,199",27.2,16,6.4,13.6,47.2,0.5,1.4,33.5,2.7,3.2,84,1.5,2.5,4,2.1,0.6,0.2,1.7,48.9,53.3
Keith Van Horn,575,31.6,16,5.9,13.3,44.3,1,2.9,36.1,3.2,3.8,83.5,2,4.8,6.8,1.6,0.8,0.5,2.2,48.2,53.4
Orlando Woolridge,851,28.3,16,6.1,11.8,51.3,0,0.1,9.1,3.9,5.3,73.7,1.6,2.7,4.3,1.9,0.6,0.7,2.1,51.3,56.7
Joe Johnson,"1,277",34.6,16,6.1,13.9,44.1,1.5,4.2,37.1,2.2,2.7,80.2,0.8,3.1,4,3.9,0.8,0.2,1.9,49.7,53
Zelmo Beaty,570,32.2,16,6,12.7,46.9,-,-,-,4.1,5.4,75,1.3,3.4,10.4,1.5,0.7,0.4,-,46.9,53
Jordan Clarkson,716,27.7,16,6,13.7,43.8,1.8,5.5,33.5,2.1,2.6,83.2,0.9,2.5,3.4,2.9,0.8,0.1,1.9,50.5,53.9
Corey Maggette,827,28.2,16,4.9,10.8,45.3,0.6,1.7,32.4,5.6,6.8,82.2,1.1,3.8,4.9,2.1,0.7,0.2,2.3,47.9,57.7
Andrew Toney,468,26.9,15.9,6.1,12.2,50,0.3,0.9,34.2,3.4,4.3,79.7,0.5,1.7,2.2,4.2,0.8,0.2,3,51.2,56.5
Elton Brand,"1,058",33,15.9,6.2,12.5,50,0,0,9.5,3.4,4.7,73.6,3.1,5.4,8.5,2.1,0.9,1.7,1.9,50.1,54.8
Don Ohl,727,30.8,15.9,6.4,14.9,43.4,-,-,-,3,4.1,73.2,-,-,3,3.1,-,-,-,43.4,47.7
Campy Russell,566,29.6,15.8,6,13.1,45.9,0.1,0.2,36.6,3.8,4.9,77.2,1.6,3.2,4.8,3,1,0.2,3,46.2,52
Dick Barnett,971,29.8,15.8,6.2,13.6,45.6,-,-,-,3.4,4.5,76.1,0.2,0.6,2.9,2.8,0.2,0,-,45.6,50.8
Willie Naulls,716,28.8,15.8,6.3,15.6,40.6,-,-,-,3.1,3.9,81.2,-,-,9.1,1.6,-,-,-,40.6,45.7
Rudy Gay,"1,120",30.9,15.8,6,13.2,45.2,1.1,3.1,34.6,2.8,3.5,79.9,1.3,4.3,5.6,2,1.1,0.7,2,49.2,53.5
Sam Cassell,993,30,15.7,5.7,12.6,45.4,0.7,2,33.1,3.6,4.2,86.1,0.6,2.6,3.2,6,1.1,0.2,2.4,48,54.4
Billy Knight,671,27.4,15.7,6.1,12,50.6,0.1,0.2,27.4,3.6,4.3,83,1.7,2.8,4.5,2.1,0.9,0.1,2.1,50.8,56.8
Domantas Sabonis,576,30.3,15.7,6.1,11.1,55.6,0.4,1.3,33.2,3,4.2,72.6,2.6,7.7,10.3,4.8,0.8,0.5,2.5,57.5,61
Tyreke Evans,594,30.7,15.7,5.9,13.4,44,0.8,2.6,32.3,3.1,4.1,75.7,0.8,3.7,4.6,4.8,1.2,0.4,2.5,47.1,51.7
John Collins,432,29,15.7,6.1,11.2,54.8,1,2.8,35.8,2.4,3.1,78.5,2.2,5.8,8.1,1.4,0.6,1,1.4,59.2,62.5
Dale Ellis,"1,209",28.8,15.7,6.1,12.6,47.9,1.4,3.5,40.3,2.2,2.8,78.4,1.3,2.2,3.5,1.4,0.8,0.2,1.5,53.6,56.7
Norm Nixon,768,35.5,15.7,6.8,14.1,48.3,0.1,0.4,29.4,2,2.6,77.2,0.6,2,2.6,8.3,1.5,0.1,3.1,48.8,51.7
Michael Finley,"1,103",34.4,15.7,6.1,13.7,44.4,1.3,3.5,37.5,2.2,2.7,81.1,1,3.3,4.4,2.9,0.9,0.3,1.5,49.2,52.7
Dwight Howard,"1,242",31.8,15.7,5.7,9.7,58.7,0,0.1,21.4,4.3,7.6,56.7,3.3,8.4,11.8,1.3,0.9,1.8,2.7,58.8,60.2
Al Jefferson,915,28.7,15.7,6.7,13.5,49.9,0,0.1,12.1,2.2,3.1,71.1,2.2,6.2,8.4,1.5,0.7,1.2,1.3,49.9,52.8
Eric Gordon,886,31.7,15.7,5.3,12.4,43,2.3,6.2,37.1,2.7,3.3,81.1,0.4,2,2.3,2.8,0.8,0.4,1.9,52.2,56.4
Xavier McDaniel,870,29,15.6,6.5,13.4,48.5,0.1,0.3,26.1,2.5,3.5,71.8,2.4,3.7,6.1,2,0.9,0.5,2.2,48.9,52.2
Rudy LaRusso,736,33.3,15.6,5.6,12.9,43.1,-,-,-,4.5,5.9,76.7,-,-,9.4,2.1,-,-,-,43.1,50.4
Jack Sikma,"1,107",33.4,15.6,5.8,12.5,46.4,0.2,0.6,32.8,3.9,4.6,84.9,2.3,7.5,9.8,3.2,1,0.9,2.3,47.1,54
Paul Westphal,823,25.5,15.6,6.2,12.3,50.4,0.1,0.2,27.5,3.2,3.8,82,0.5,1.5,1.9,4.4,1.3,0.3,2.6,50.6,55.8
Sidney Moncrief,767,30.2,15.6,5.4,10.7,50.2,0.1,0.5,28.4,4.7,5.6,83.1,1.9,2.8,4.7,3.6,1.2,0.3,2,50.9,59.1
Bojan Bogdanovic,719,29.1,15.6,5.4,11.7,46,2.1,5.3,39.4,2.7,3.1,85.9,0.5,3,3.6,1.7,0.6,0.1,1.7,54.9,59.4
Buddy Hield,632,29,15.5,5.6,13,43.4,3,7.6,40,1.2,1.4,86,0.8,3.5,4.2,2.6,0.9,0.3,1.7,55.1,57.1
Tony Parker,"1,254",30.5,15.5,6.2,12.6,49.1,0.4,1.3,32.4,2.7,3.6,75.1,0.4,2.4,2.7,5.6,0.8,0.1,2.3,50.8,54.6
Truck Robinson,772,32.6,15.5,6.2,12.9,48.3,0,0,100,3.1,4.6,66.2,2.6,6.8,9.4,1.7,0.7,0.7,3,48.3,52
Ray Williams,655,28.2,15.5,6,13.4,45.1,0.1,0.6,23.7,3.3,4.1,80.2,1.2,2.4,3.6,5.8,1.8,0.3,3.2,45.6,50.9
Ralph Sampson,456,29.8,15.4,6.4,13.2,48.6,0,0.1,17.2,2.6,3.9,66.1,2.6,6.2,8.8,2.3,0.9,1.6,3,48.7,51.8
Malcolm Brogdon,439,29.4,15.4,5.7,12.3,46.4,1.7,4.3,39.1,2.4,2.7,87.3,0.8,3.4,4.2,4.7,0.8,0.2,1.7,53.2,57.3
Dejounte Murray,472,29.1,15.4,6.2,13.5,45.8,1.2,3.4,34.5,1.9,2.4,78.7,0.9,4.8,5.8,5.3,1.4,0.3,2,50.1,53
Bam Adebayo,489,30,15.4,5.9,10.8,54.7,0,0.2,22.1,3.5,4.6,75.5,2.2,6.5,8.7,3.5,1,0.9,2.2,55,59.9
Austin Carr,682,28.8,15.4,6.4,14.2,44.9,0,0,15.4,2.6,3.2,80.4,1.3,1.4,2.9,2.8,0.8,0.1,1.6,44.9,49.1
Kevin Loughery,755,29.4,15.3,5.9,14.3,41.3,-,-,-,3.5,4.3,80.3,-,-,3,3.7,-,-,-,41.3,47.2
Wayman Tisdale,840,28.4,15.3,6.4,12.6,50.5,0,0,0,2.6,3.4,76,1.9,4.2,6.1,1.3,0.6,0.6,1.7,50.5,54.3
Tom Van Arsdale,929,30.9,15.3,5.9,13.7,43.1,-,-,-,3.5,4.5,76.2,0.8,2.5,4.2,2.2,0.7,0.1,-,43.1,48.7
Joe Caldwell,468,29.6,15.2,6.3,13.8,45.9,-,-,-,2.6,4.1,63.4,-,-,5.1,2.7,-,-,-,45.9,48.9
Mark Price,722,29.9,15.2,5.5,11.6,47.2,1.4,3.4,40.2,3,3.3,90.4,0.6,2,2.6,6.7,1.2,0.1,2.5,53,58.6
Shawn Marion,"1,163",34.5,15.2,6.3,12.9,48.4,0.7,2.1,33.1,2,2.5,81,2.3,6.3,8.7,1.9,1.5,1.1,1.5,51,54.2
Gordon Hayward,835,30.7,15.2,5.3,11.6,45.5,1.3,3.6,37,3.3,4,82.2,0.8,3.7,4.4,3.5,1,0.4,1.9,51.2,56.7
Anfernee Hardaway,704,33.7,15.2,5.7,12.4,45.8,0.7,2.3,31.6,3.1,4,77.4,1.4,3.1,4.5,5,1.6,0.4,2.5,48.6,53.5
Fred Carter,611,30,15.2,6.4,15.1,42.5,-,-,-,2.4,3.4,69.3,1.1,2.7,3.9,3.5,1.2,0.2,-,42.5,45.8
Dan Roundfield,746,31.4,15.2,5.7,11.9,48.5,0,0.1,11.5,3.7,5,73.8,3.3,6.4,9.7,2.2,0.9,1.5,2.6,48.5,54
Jay Vincent,576,27,15.2,6.1,12.8,47.4,0,0,14.8,3,3.9,78.4,1.7,3.8,5.5,2,0.7,0.3,1.9,47.4,52.3
Chauncey Billups,"1,043",31.6,15.2,4.5,10.9,41.5,1.8,4.5,38.7,4.3,4.8,89.4,0.5,2.4,2.9,5.4,1,0.2,2,49.5,58
Cazzie Russell,817,27.2,15.1,6.3,13.7,46.4,-,-,-,2.5,3,82.7,1.1,2.2,3.8,2.2,0.8,0.1,1,46.4,50.6
Stephen Jackson,858,31.9,15.1,5.4,13,41.4,1.5,4.4,33.3,2.9,3.7,79.8,0.8,3.1,3.9,3.1,1.3,0.4,2.5,47.1,51.9
Bill Russell,963,42.3,15.1,5.9,13.4,44,-,-,-,3.3,5.8,56.1,-,-,22.5,4.3,-,-,-,44,47.1
Phil Smith,659,29.1,15.1,6.1,12.8,47.6,0,0.1,25.3,2.9,3.7,77.9,0.9,2.1,3,3.9,1.1,0.3,2.4,47.7,52.3
Eddie Johnson,675,29.6,15.1,5.9,12.5,47.6,0.2,0.5,32.6,3,3.8,79.1,0.7,1.6,2.3,5.1,1.1,0.1,2.5,48.2,53.1
Fred VanVleet,490,30.8,15,5.1,12.5,40.4,2.5,6.7,37.5,2.4,2.8,86.8,0.4,3,3.4,5.7,1.4,0.5,1.7,50.4,54.7
Nate Thurmond,964,37.2,15,5.7,13.6,42.1,-,-,-,3.5,5.3,66.7,2.8,6.8,15,2.7,0.5,2.1,-,42.1,47
Vin Baker,791,32.5,15,5.9,12.2,48.5,0,0.2,21.5,3.1,4.8,63.8,2.9,4.6,7.4,1.9,0.7,1,2.2,48.7,52.2
Mike Newlin,837,29.4,14.9,5.6,12.1,46.6,0.1,0.2,30.2,3.6,4.1,87,0.8,2,3,4,1,0.1,2.5,46.9,53.7
Danilo Gallinari,777,28.8,14.9,4.6,10.6,42.8,1.9,4.9,38.1,4,4.5,87.6,0.7,4,4.7,1.9,0.7,0.3,1.2,51.6,59.2
Ricky Pierce,969,24.4,14.9,5.6,11.3,49.3,0.3,0.9,32.2,3.5,4,87.5,0.9,1.5,2.4,1.9,0.8,0.2,1.5,50.7,57.3
Ben Gordon,744,27.4,14.9,5.3,12.2,43.2,1.6,3.9,40.1,2.8,3.2,85.7,0.4,2,2.5,2.5,0.7,0.2,2.1,49.7,54.6
